GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
H800,Llama-3-70B,int8_int8_int32,Q-proj,1,8192,8192,0.02986,4.495,2248.641
H800,Llama-3-70B,int8_int8_int32,Q-proj,16,8192,8192,0.0762,28.184,889.351
H800,Llama-3-70B,int8_int8_int32,Q-proj,32,8192,8192,0.10853,39.574,630.414
H800,Llama-3-70B,int8_int8_int32,Q-proj,64,8192,8192,0.11331,75.808,615.384
H800,Llama-3-70B,int8_int8_int32,Q-proj,128,8192,8192,0.12723,135.035,568.689
H800,Llama-3-70B,int8_int8_int32,Q-proj,256,8192,8192,0.15321,224.271,506.471
H800,Llama-3-70B,int8_int8_int32,Q-proj,512,8192,8192,0.18465,372.162,477.014
H800,Llama-3-70B,int8_int8_int32,Q-proj,1024,8192,8192,0.33896,405.469,321.722
H800,Llama-3-70B,int8_int8_int32,Q-proj,2048,8192,8192,0.66202,415.211,228.082
H800,Llama-3-70B,int8_int8_int32,Q-proj,4096,8192,8192,1.30102,422.557,180.536
H800,Llama-3-70B,int8_int8_int32,Q-proj,8192,8192,8192,2.58576,425.217,155.719
H800,Llama-3-70B,int8_int8_int32,KV-proj,1,8192,1024,0.00629,2.668,1339.44
H800,Llama-3-70B,int8_int8_int32,KV-proj,16,8192,1024,0.0102,26.33,875.832
H800,Llama-3-70B,int8_int8_int32,KV-proj,32,8192,1024,0.01432,37.499,661.457
H800,Llama-3-70B,int8_int8_int32,KV-proj,64,8192,1024,0.01169,91.88,902.87
H800,Llama-3-70B,int8_int8_int32,KV-proj,128,8192,1024,0.01497,143.426,849.139
H800,Llama-3-70B,int8_int8_int32,KV-proj,256,8192,1024,0.01914,224.446,890.439
H800,Llama-3-70B,int8_int8_int32,KV-proj,512,8192,1024,0.03021,284.36,850.441
H800,Llama-3-70B,int8_int8_int32,KV-proj,1024,8192,1024,0.05962,288.176,721.143
H800,Llama-3-70B,int8_int8_int32,KV-proj,2048,8192,1024,0.11013,311.998,704.586
H800,Llama-3-70B,int8_int8_int32,KV-proj,4096,8192,1024,0.21316,322.387,688.693
H800,Llama-3-70B,int8_int8_int32,KV-proj,8192,8192,1024,0.41133,334.132,693.39
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,1,28672,8192,0.08363,5.617,2810.087
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,16,28672,8192,0.17404,43.186,1360.865
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,32,28672,8192,0.17343,86.675,1376.972
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,64,28672,8192,0.17758,169.299,1366.933
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,128,28672,8192,0.20334,295.704,1232.442
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,256,28672,8192,0.37265,322.714,714.715
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,512,28672,8192,0.67407,356.813,441.785
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,1024,28672,8192,1.14004,421.949,316.403
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,2048,28672,8192,2.27692,422.533,213.683
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,4096,28672,8192,4.5008,427.512,164.015
H800,Llama-3-70B,int8_int8_int32,FFN Up-proj,8192,28672,8192,8.81341,436.64,140.866
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,1,8192,28672,0.0844,5.566,2783.576
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,16,8192,28672,0.2388,31.475,987.719
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,32,8192,28672,0.34948,43.014,677.722
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,64,8192,28672,0.38867,77.354,614.444
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,128,8192,28672,0.42962,139.961,565.029
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,256,8192,28672,0.49505,242.922,506.228
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,512,8192,28672,0.61392,391.774,433.832
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,1024,8192,28672,1.15263,417.337,258.361
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,2048,8192,28672,2.19159,438.984,164.588
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,4096,8192,28672,4.30667,446.783,112.973
H800,Llama-3-70B,int8_int8_int32,FFN Down-proj,8192,8192,28672,8.58243,448.392,86.013
