GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
A800,Llama-3-8B,int8_int8_int32,Q-proj,1,4096,4096,0.00881,3.81,1907.442
A800,Llama-3-8B,int8_int8_int32,Q-proj,16,4096,4096,0.02068,25.955,826.935
A800,Llama-3-8B,int8_int8_int32,Q-proj,32,4096,4096,0.02427,44.244,718.312
A800,Llama-3-8B,int8_int8_int32,Q-proj,64,4096,4096,0.03379,63.55,535.273
A800,Llama-3-8B,int8_int8_int32,Q-proj,128,4096,4096,0.04936,87.019,393.029
A800,Llama-3-8B,int8_int8_int32,Q-proj,256,4096,4096,0.0853,100.704,258.152
A800,Llama-3-8B,int8_int8_int32,Q-proj,512,4096,4096,0.13926,123.362,195.765
A800,Llama-3-8B,int8_int8_int32,Q-proj,1024,4096,4096,0.27187,126.382,138.848
A800,Llama-3-8B,int8_int8_int32,Q-proj,2048,4096,4096,0.40858,168.193,143.719
A800,Llama-3-8B,int8_int8_int32,Q-proj,4096,4096,4096,0.69714,197.147,144.395
A800,Llama-3-8B,int8_int8_int32,Q-proj,8192,4096,4096,1.36346,201.604,135.354
A800,Llama-3-8B,int8_int8_int32,KV-proj,1,4096,1024,0.00563,1.489,747.818
A800,Llama-3-8B,int8_int8_int32,KV-proj,16,4096,1024,0.00901,14.895,496.364
A800,Llama-3-8B,int8_int8_int32,KV-proj,32,4096,1024,0.00942,28.494,504.348
A800,Llama-3-8B,int8_int8_int32,KV-proj,64,4096,1024,0.01229,43.691,432.004
A800,Llama-3-8B,int8_int8_int32,KV-proj,128,4096,1024,0.01669,64.33,384.785
A800,Llama-3-8B,int8_int8_int32,KV-proj,256,4096,1024,0.02519,85.25,343.415
A800,Llama-3-8B,int8_int8_int32,KV-proj,512,4096,1024,0.03809,112.75,344.086
A800,Llama-3-8B,int8_int8_int32,KV-proj,1024,4096,1024,0.07045,121.927,312.558
A800,Llama-3-8B,int8_int8_int32,KV-proj,2048,4096,1024,0.11356,151.283,350.875
A800,Llama-3-8B,int8_int8_int32,KV-proj,4096,4096,1024,0.19517,176.046,386.821
A800,Llama-3-8B,int8_int8_int32,KV-proj,8192,4096,1024,0.37888,181.375,387.459
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,1,14336,4096,0.0382,3.075,1538.985
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,16,14336,4096,0.04925,38.15,1212.144
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,32,14336,4096,0.05253,71.54,1155.244
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,64,14336,4096,0.08714,86.252,718.966
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,128,14336,4096,0.14766,101.803,450.929
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,256,14336,4096,0.25631,117.3,290.468
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,512,14336,4096,0.40858,147.169,220.712
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,1024,14336,4096,0.6826,176.178,178.194
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,2048,14336,4096,1.23535,194.696,149.39
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,4096,14336,4096,2.38172,201.97,130.317
A800,Llama-3-8B,int8_int8_int32,FFN Up-proj,8192,14336,4096,4.75556,202.305,118.185
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,1,4096,14336,0.03768,3.117,1559.076
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,16,4096,14336,0.08294,22.654,713.877
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,32,4096,14336,0.09318,40.33,640.703
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,64,4096,14336,0.12483,60.214,486.169
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,128,4096,14336,0.16159,93.03,387.731
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,256,4096,14336,0.28518,105.422,233.479
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,512,4096,14336,0.46705,128.744,159.404
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,1024,4096,14336,0.92027,130.678,97.99
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,2048,4096,14336,1.42336,168.979,85.456
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,4096,4096,14336,2.39012,201.26,77.213
A800,Llama-3-8B,int8_int8_int32,FFN Down-proj,8192,4096,14336,4.6934,204.984,66.131
