GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
A800,Llama-3-70B,float16_float16_float16,Q-proj,1,8192,8192,0.08069,1.663,1663.756
A800,Llama-3-70B,float16_float16_float16,Q-proj,16,8192,8192,0.11244,19.1,1198.398
A800,Llama-3-70B,float16_float16_float16,Q-proj,32,8192,8192,0.15288,28.093,884.77
A800,Llama-3-70B,float16_float16_float16,Q-proj,64,8192,8192,0.33475,25.661,407.219
A800,Llama-3-70B,float16_float16_float16,Q-proj,128,8192,8192,0.39823,43.14,347.565
A800,Llama-3-70B,float16_float16_float16,Q-proj,256,8192,8192,0.43858,78.343,325.155
A800,Llama-3-70B,float16_float16_float16,Q-proj,512,8192,8192,0.82964,82.83,182.0
A800,Llama-3-70B,float16_float16_float16,Q-proj,1024,8192,8192,1.29229,106.353,129.826
A800,Llama-3-70B,float16_float16_float16,Q-proj,2048,8192,8192,2.61263,105.211,77.059
A800,Llama-3-70B,float16_float16_float16,Q-proj,4096,8192,8192,5.10024,107.79,52.632
A800,Llama-3-70B,float16_float16_float16,Q-proj,8192,8192,8192,10.13873,108.447,39.714
A800,Llama-3-70B,float16_float16_float16,KV-proj,1,8192,1024,0.00911,1.841,1842.921
A800,Llama-3-70B,float16_float16_float16,KV-proj,16,8192,1024,0.01659,16.182,1029.142
A800,Llama-3-70B,float16_float16_float16,KV-proj,32,8192,1024,0.01935,27.74,897.359
A800,Llama-3-70B,float16_float16_float16,KV-proj,64,8192,1024,0.02673,40.175,671.877
A800,Llama-3-70B,float16_float16_float16,KV-proj,128,8192,1024,0.03994,53.773,479.179
A800,Llama-3-70B,float16_float16_float16,KV-proj,256,8192,1024,0.05837,73.584,368.281
A800,Llama-3-70B,float16_float16_float16,KV-proj,512,8192,1024,0.11571,74.236,226.549
A800,Llama-3-70B,float16_float16_float16,KV-proj,1024,8192,1024,0.18708,91.829,190.564
A800,Llama-3-70B,float16_float16_float16,KV-proj,2048,8192,1024,0.33157,103.627,164.447
A800,Llama-3-70B,float16_float16_float16,KV-proj,4096,8192,1024,0.6487,105.933,142.245
A800,Llama-3-70B,float16_float16_float16,KV-proj,8192,8192,1024,1.27058,108.17,132.044
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,1,28672,8192,0.26552,1.769,1769.472
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,16,28672,8192,0.32788,22.923,1436.303
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,32,28672,8192,0.35615,42.208,1325.636
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,64,28672,8192,0.61307,49.04,773.944
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,128,28672,8192,0.86589,69.442,553.415
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,256,28672,8192,1.31901,91.173,370.456
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,512,28672,8192,2.45996,97.773,206.309
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,1024,28672,8192,4.85929,98.993,112.21
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,2048,28672,8192,8.78633,109.497,70.65
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,4096,28672,8192,15.99764,120.277,48.242
A800,Llama-3-70B,float16_float16_float16,FFN Up-proj,8192,28672,8192,31.80226,121.007,33.763
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,1,8192,28672,0.2687,1.748,1748.568
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,16,8192,28672,0.4821,15.591,976.857
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,32,8192,28672,0.46868,32.074,1007.332
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,64,8192,28672,0.62464,48.131,759.607
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,128,8192,28672,1.11329,54.011,430.434
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,256,8192,28672,1.70895,70.37,285.927
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,512,8192,28672,3.35708,71.645,151.176
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,1024,8192,28672,4.77348,100.773,114.227
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,2048,8192,28672,8.05898,119.379,77.027
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,4096,8192,28672,15.20363,126.558,50.761
A800,Llama-3-70B,float16_float16_float16,FFN Down-proj,8192,8192,28672,30.34767,126.807,35.381
