GPU,Model,Precision,Layer_Name,M,N,K,Time_ms,TFLOPS/TOPS,GB/s
H800,Llama-3-70B,float16_float16_float16,Q-proj,1,8192,8192,0.04705,2.852,2853.188
H800,Llama-3-70B,float16_float16_float16,Q-proj,16,8192,8192,0.08559,25.089,1574.209
H800,Llama-3-70B,float16_float16_float16,Q-proj,32,8192,8192,0.09009,47.674,1501.464
H800,Llama-3-70B,float16_float16_float16,Q-proj,64,8192,8192,0.11723,73.277,1162.843
H800,Llama-3-70B,float16_float16_float16,Q-proj,128,8192,8192,0.14175,121.201,976.471
H800,Llama-3-70B,float16_float16_float16,Q-proj,256,8192,8192,0.24226,141.832,588.66
H800,Llama-3-70B,float16_float16_float16,Q-proj,512,8192,8192,0.30633,224.334,492.922
H800,Llama-3-70B,float16_float16_float16,Q-proj,1024,8192,8192,0.57492,239.058,291.819
H800,Llama-3-70B,float16_float16_float16,Q-proj,2048,8192,8192,1.13407,242.381,177.525
H800,Llama-3-70B,float16_float16_float16,Q-proj,4096,8192,8192,2.24102,245.315,119.783
H800,Llama-3-70B,float16_float16_float16,Q-proj,8192,8192,8192,4.47827,245.522,89.913
H800,Llama-3-70B,float16_float16_float16,KV-proj,1,8192,1024,0.00682,2.46,2463.03
H800,Llama-3-70B,float16_float16_float16,KV-proj,16,8192,1024,0.00939,28.601,1818.99
H800,Llama-3-70B,float16_float16_float16,KV-proj,32,8192,1024,0.01266,42.399,1371.544
H800,Llama-3-70B,float16_float16_float16,KV-proj,64,8192,1024,0.01372,78.288,1309.267
H800,Llama-3-70B,float16_float16_float16,KV-proj,128,8192,1024,0.02028,105.917,943.843
H800,Llama-3-70B,float16_float16_float16,KV-proj,256,8192,1024,0.03176,135.219,676.754
H800,Llama-3-70B,float16_float16_float16,KV-proj,512,8192,1024,0.04723,181.891,555.089
H800,Llama-3-70B,float16_float16_float16,KV-proj,1024,8192,1024,0.10221,168.082,348.803
H800,Llama-3-70B,float16_float16_float16,KV-proj,2048,8192,1024,0.1916,179.328,284.578
H800,Llama-3-70B,float16_float16_float16,KV-proj,4096,8192,1024,0.36434,188.612,253.264
H800,Llama-3-70B,float16_float16_float16,KV-proj,8192,8192,1024,0.68323,201.161,245.558
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,1,28672,8192,0.1647,2.852,2852.72
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,16,28672,8192,0.17211,43.67,2736.253
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,32,28672,8192,0.18316,82.072,2577.622
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,64,28672,8192,0.26446,113.683,1794.144
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,128,28672,8192,0.34631,173.627,1383.715
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,256,28672,8192,0.6185,194.436,790.032
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,512,28672,8192,1.1114,216.411,456.643
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,1024,28672,8192,1.9515,246.495,279.405
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,2048,28672,8192,3.83352,250.963,161.929
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,4096,28672,8192,7.4545,258.119,103.528
H800,Llama-3-70B,float16_float16_float16,FFN Up-proj,8192,28672,8192,14.89855,258.3,72.07
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,1,8192,28672,0.1534,3.062,3062.721
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,16,8192,28672,0.28484,26.387,1653.346
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,32,8192,28672,0.29967,50.163,1575.469
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,64,8192,28672,0.39065,76.962,1214.604
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,128,8192,28672,0.48127,124.938,995.69
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,256,8192,28672,0.82096,146.486,595.204
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,512,8192,28672,1.02297,235.118,496.117
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,1024,8192,28672,1.99535,241.079,273.265
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,2048,8192,28672,3.91604,245.675,158.516
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,4096,8192,28672,7.71933,249.263,99.977
H800,Llama-3-70B,float16_float16_float16,FFN Down-proj,8192,8192,28672,15.3646,250.465,69.884
